"","dispnum","stabb","ccode","stday","stmon","styear","endday","endmon","endyear","sidea","revstate","revtype1","revtype2","fatality","fatalpre","hiact","hostlev","orig","version","outcome","settle","recip","numa","numb","COWcode","year"
"3486",3207,"USR",365,17,10,1953,20,6,1954,1,1,2,-9,0,0,15,4,1,5,5,3,0,1,1,365,1953
"3487",3207,"JPN",740,17,10,1953,20,6,1954,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,740,1953
"3488",3208,"JPN",740,14,12,1953,4,7,1954,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,740,1953
"3489",3208,"CHN",710,14,12,1953,4,7,1954,1,1,2,-9,0,0,16,4,1,5,5,3,0,1,1,710,1953
"3490",3209,"SWZ",225,4,10,1954,4,10,1954,0,0,0,-9,0,0,7,3,1,5,5,3,1,1,1,225,1954
"3491",3209,"USA",2,4,10,1954,4,10,1954,1,0,0,-9,0,0,12,3,1,5,5,3,1,1,1,2,1954
"3492",3210,"USR",365,15,9,1954,15,9,1954,1,0,0,-9,0,0,12,3,1,5,5,3,0,1,1,365,1954
"3493",3210,"FIN",375,15,9,1954,15,9,1954,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,375,1954
"3494",3211,"TAW",713,1,2,1955,1,2,1955,1,1,2,-9,0,0,15,4,1,5,7,3,0,1,1,713,1955
"3495",3211,"PAK",770,1,2,1955,1,2,1955,0,0,0,-9,0,0,0,1,1,5,7,3,0,1,1,770,1955
"3496",3213,"ROK",732,25,12,1955,25,12,1955,0,0,0,-9,0,0,17,4,1,5,5,3,1,1,1,732,1955
"3497",3213,"CHN",710,25,12,1955,25,12,1955,1,0,0,-9,0,0,17,4,1,5,5,3,1,1,1,710,1955
"3498",3214,"USR",365,30,4,1955,30,4,1955,1,1,2,-9,0,0,15,4,1,5,5,3,0,1,1,365,1955
"3499",3214,"SWD",380,30,4,1955,30,4,1955,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,380,1955
"3500",3215,"SAF",560,19,1,1973,20,5,1973,0,1,2,-9,0,0,16,4,1,5,5,3,1,1,1,560,1973
"3501",3215,"ZAM",551,19,1,1973,20,5,1973,1,1,2,-9,0,0,16,4,1,5,5,3,1,1,1,551,1973
"3502",3216,"ITA",325,15,3,1955,9,4,1955,0,0,0,-9,0,0,0,1,1,5,7,3,0,1,1,325,1955
"3503",3216,"ALB",339,15,3,1955,9,4,1955,1,1,2,-9,0,0,15,4,1,5,7,3,0,1,1,339,1955
"3504",3217,"RVN",817,31,1,1974,4,2,1974,1,1,2,-9,0,0,7,3,1,5,5,3,0,1,3,817,1974
"3505",3217,"CHN",710,31,1,1974,4,2,1974,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,3,710,1974
"3506",3217,"PHI",840,31,1,1974,4,2,1974,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,3,840,1974
"3507",3217,"TAW",713,31,1,1974,4,2,1974,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,3,713,1974
"3508",3218,"UKG",200,28,11,1955,13,2,1956,1,1,2,-9,0,0,12,3,1,5,5,3,0,1,1,200,1955
"3509",3218,"SAU",670,28,11,1955,13,2,1956,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,670,1955
"3510",3219,"ISR",666,27,7,1955,27,7,1955,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,666,1955
"3511",3219,"BUL",355,27,7,1955,27,7,1955,1,1,2,-9,0,0,16,4,1,5,5,3,0,1,1,355,1955
"3512",3221,"TAW",713,23,9,1956,23,9,1956,1,1,2,-9,0,0,16,4,1,5,5,3,0,1,1,713,1956
"3513",3221,"GFR",260,23,9,1956,23,9,1956,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,260,1956
"3514",3225,"NOR",385,30,1,1956,7,2,1956,1,1,2,-9,0,0,15,4,1,5,5,3,0,1,1,385,1956
"3515",3225,"USR",365,30,1,1956,7,2,1956,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,365,1956
"3516",3227,"ZAM",551,24,9,1974,5,10,1974,0,0,0,-9,-9,-9,16,4,1,5,5,3,1,1,1,551,1974
"3517",3227,"SAF",560,24,9,1974,5,10,1974,1,1,2,-9,-9,-9,16,4,1,5,5,3,1,1,1,560,1974
"3518",3229,"UKG",200,7,1,1949,4,4,1949,0,0,0,-9,0,0,7,3,1,5,5,3,1,1,2,200,1949
"3519",3229,"JOR",663,8,1,1949,4,4,1949,0,1,1,-9,1,-9,17,4,0,5,5,3,1,1,2,663,1949
"3520",3229,"ISR",666,7,1,1949,4,4,1949,1,0,0,-9,1,-9,17,4,1,5,5,3,1,1,2,666,1949
"3521",3230,"JOR",663,1,1,1957,22,1,1959,1,1,1,-9,2,-9,17,4,1,5,5,3,1,1,1,663,1957
"3522",3230,"ISR",666,1,1,1957,22,1,1959,0,0,0,-9,1,-9,17,4,1,5,5,3,1,1,1,666,1957
"3523",3231,"ISR",666,15,8,1959,20,8,1961,1,0,0,-9,1,-9,17,4,1,5,5,3,1,1,1,666,1959
"3524",3231,"JOR",663,15,8,1959,20,8,1961,0,1,1,-9,1,-9,17,4,1,5,5,3,1,1,1,663,1959
"3529",3242,"USA",2,29,3,1955,-9,4,1955,0,0,0,-9,0,0,0,1,1,5,7,3,0,1,1,2,1955
"3530",3242,"ECU",130,29,3,1955,-9,4,1955,1,1,2,-9,0,0,15,4,1,5,7,3,0,1,1,130,1955
"3531",3243,"USA",2,29,1,1955,-9,2,1955,0,0,0,-9,0,0,0,1,1,5,7,3,0,1,1,2,1955
"3532",3243,"PER",135,29,1,1955,-9,2,1955,1,1,2,-9,0,0,15,4,1,5,7,3,0,1,1,135,1955
"3533",3244,"PER",135,29,10,1962,1,11,1962,1,1,2,-9,0,0,15,4,1,5,7,3,0,1,1,135,1962
"3534",3244,"USA",2,29,10,1962,1,11,1962,0,0,0,-9,0,0,0,1,1,5,7,3,0,1,1,2,1962
"3559",3265,"MON",712,12,5,1947,-9,2,1948,1,1,1,-9,-9,-9,17,4,1,5,5,3,1,2,1,712,1947
"3560",3265,"CHN",710,12,5,1947,-9,2,1948,0,0,0,-9,-9,-9,17,4,1,5,5,3,1,2,1,710,1947
"3561",3265,"USR",365,12,5,1947,-9,2,1948,1,0,0,-9,-9,-9,17,4,1,5,5,3,1,2,1,365,1947
"3562",3267,"ZAM",551,29,1,1973,29,1,1973,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,551,1973
"3563",3267,"UGA",500,29,1,1973,29,1,1973,1,0,0,-9,0,0,8,3,1,5,5,3,0,1,1,500,1973
"3564",3300,"CAM",811,-9,5,1968,9,7,1968,0,1,2,-9,0,0,15,4,1,5,7,4,1,1,1,811,1968
"3565",3300,"PHI",840,-9,5,1968,9,7,1968,1,1,2,-9,0,0,12,3,1,5,7,4,1,1,1,840,1968
"3606",3360,"DRV",816,8,11,1960,8,11,1960,1,1,3,-9,2,-9,17,4,1,5,5,3,1,1,1,816,1960
"3607",3360,"RVN",817,8,11,1960,8,11,1960,0,0,0,-9,2,-9,17,4,1,5,5,3,1,1,1,817,1960
"3608",3361,"USA",2,-9,12,1961,26,2,1962,1,0,0,-9,0,0,7,3,1,5,5,3,1,1,3,2,1961
"3609",3361,"CHN",710,26,2,1962,26,2,1962,0,0,0,-9,0,0,1,2,0,5,5,3,1,1,3,710,1962
